20191226,南京房产网,南京小区,栖霞小区,迈皋桥小区,美达浅草明苑,(栖霞迈皋桥)营苑北路2号,美达浅草明苑,132位用户已关注,30869元/㎡11月参考均价,2009年建成,板楼,0.8至1.3元/平米/月,业主自筹物业,南京万均置业有限公司,11栋,630户,月苑店/营苑新寓03幢104室,118.839153,32.11172152
20191226,南京房产网,南京小区,秦淮小区,夫子庙小区,白鹭小区东关头,(秦淮夫子庙)长白街2号 东关头5号,白鹭小区东关头,27位用户已关注,35157元/㎡11月参考均价,1987年建成,板楼/塔板结合,0.8元/平米/月,街道办事处（委员会）代管物业,南京白鹭湖房地产开发有限公司,10栋,236户,瑞北街店B店/秦淮区瑞金北村32-2号,118.802503,32.028583
20191226,南京房产网,南京小区,栖霞小区,迈皋桥小区,南砖新村,(栖霞迈皋桥)和燕路353号,南砖新村,55位用户已关注,24337元/㎡11月参考均价,1988年建成,板楼/塔板结合,0.3元/平米/月,街道办事处（委员会）代管物业,南京栖霞建设股份有限公司,19栋,764户,华电路西店/长营村33号104-1,118.8189957,32.11458534
20191226,南京房产网,南京小区,溧水小区,溧水其它小区,伯爵山庄,(溧水溧水其它)柘宁东路128号,伯爵山庄,3位用户已关注,11486元/㎡11月参考均价,2008年建成,板楼,1元/平米/月,六合隆鼎物业管理公司,海南蔚蓝江南置业有限公司,13栋,84户,暂无门店信息,118.9330598,31.75747546
20191226,南京房产网,南京小区,浦口小区,桥北小区,万润嘉园,(浦口桥北)天华南路11号,万润嘉园,211位用户已关注,19770元/㎡11月参考均价,2012年建成,板楼,0.5至0.95元/平米/月,业主自筹物业,南京天华百润投资发展有限责任公司,10栋,1125户,天润城十一街区店/百润路4号天润城第十一街区22幢105室,118.733425,32.155688
20191226,南京房产网,南京小区,建邺小区,南苑小区,南湖春晓嘉怡苑,(建邺南苑)南湖路29号,南湖春晓嘉怡苑,119位用户已关注,33618元/㎡11月参考均价,2002年建成,板楼/塔板结合,0.8至1.2元/平米/月,江苏国信物业管理有限公司,南京新苏置业有限公司,5栋,282户,文体路店/文体路86号,118.761167,32.027432
20191226,南京房产网,南京小区,江宁小区,东山镇小区,东山街道金箔路326号,(江宁东山镇)南京市江宁区金箔路326号院,东山街道金箔路326号,0位用户已关注,27220元/㎡8月参考均价,暂无信息,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户,暂无门店信息,118.861784,31.95384093
20191226,南京房产网,南京小区,建邺小区,应天西路小区,爱达花园紫藤园,(建邺应天西路)长虹路389号,爱达花园紫藤园,213位用户已关注,28907元/㎡11月参考均价,1998年建成,板楼/塔板结合,0.5元/平米/月,私人承办物业,江苏省八达房地产开发有限公司,20栋,978户,集庆门大街店/长虹路285号,118.768816,32.022829
20191226,南京房产网,南京小区,江宁小区,汤山镇小区,汤水雅居南苑,(江宁汤山镇)延祥路5号,汤水雅居南苑,7位用户已关注,13934元/㎡11月参考均价,2008年建成,板楼,0.45元/平米/月,街道办事处（委员会）代管物业,南京苏豪汤山温泉康养特色小镇投资开发有限公司,31栋,936户,暂无门店信息,119.0737976,32.04317729
20191226,南京房产网,南京小区,江宁小区,湖熟小区,鸿裕华庭,(江宁湖熟)东月桥路246号,鸿裕华庭,14位用户已关注,17243元/㎡11月参考均价,2015年建成,板楼,暂无信息,暂无信息,河南中中置业有限公司,16栋,512户,暂无门店信息,118.9446893,31.9398126
