新疆,1633280
西藏,1204501
内蒙古,1145156
青海,715587
四川,484310
黑龙江,450076
甘肃,404955
云南,383978
广西,236811
湖南,212418
陕西,205900
吉林,190541
河北,187045
湖北,186163
广东,177084
贵州,176252
江西,167302
河南,165600
山西,156381
山东,153422
辽宁,145260
安徽,140397
福建,121894
浙江,102045
江苏,100952
重庆,82539
宁夏,51853
台湾,36136
海南,33979
北京,16370
天津,11606
上海,6306
香港,1101
澳门,27
