"DAY","STOCK_CODE","STOCK_NAME","CURRENT_PRICE","CHANGEMOUNT","CHANGEPERCENT","VOLUME","TURNOVER","AMPLITUDE","MAXIMUM","MINIMUM","OPEN_TODAY","CLOSE_YESTERDAY","QUANTITY_RELATIVE_RATIO","TURNOVER_RATE","PE","PB","TOTAL_MARKET_VALUE","CURRENT_MARKET","UP_DOWN_60","UP_DOWN_THIS_YEAR"
"20190904","002314","南山控股","3.48","0.32","10.13%","556615","187743416","11.71%","3.48","3.11","3.12","3.16","2.24","4.89","30.13","1.14","9423083197","3958464832","13.73%","22.97%"
"20190904","000517","荣安地产","2.94","0.27","10.11%","556764","160417709","10.49%","2.94","2.66","2.67","2.67","6.26","1.83","7.91","1.72","9360732288","8924979671","-2.65%","26.72%"
"20190904","601619","嘉泽新能","4.48","0.41","10.07%","412991","183747010","9.34%","4.48","4.10","4.12","4.07","5.56","8.20","28.01","3.19","8659840037","2256821012","-3.66%","2.05%"
"20190904","000005","世纪星源","3.83","0.35","10.06%","981225","363146800","10.92%","3.83","3.45","3.58","3.48","3.07","9.27","32.57","2.61","4054196024","4051934018","33.45%","43.45%"
"20190904","002771","真视通","13.59","1.24","10.04%","290772","385070464","7.94%","13.59","12.61","13.00","12.35","15.37","22.64","139.10","4.25","2852453784","1745728869","15.27%","22.21%"
"20190904","600928","西安银行","7.34","0.67","10.04%","986249","716639776","10.49%","7.34","6.64","6.66","6.67","9.03","22.19","12.24","1.44","32622222904","3262222316","-11.25%","8.9%"
"20190904","603328","依顿电子","12.82","1.17","10.04%","360312","450169120","9.96%","12.82","11.66","11.70","11.65","2.26","3.61","24.00","3.15","12789280681","12789280719","28.84%","36.38%"
"20190904","000014","沙河股份","11.19","1.02","10.03%","216555","233137812","11.41%","11.19","10.03","10.03","10.17","2.48","10.74","-","2.60","2257080958","2257080958","15.36%","18.41%"
"20190904","000032","深桑达A","13.62","1.24","10.02%","250366","338473168","4.93%","13.62","13.01","13.40","12.38","2.59","6.09","53.82","4.06","5628051736","5601683457","42.47%","88.64%"
"20190904","300492","山鼎设计","32.95","3.00","10.02%","4520","14893927","0.00%","32.95","32.95","32.95","29.95","0.22","0.75","109.89","9.60","2741440063","1982532812","38.8%","69.5%"
"20190904","002417","深南股份","9.99","0.91","10.02%","641678","626416272","9.80%","9.99","9.10","9.86","9.08","2.85","27.97","-","9.17","2697299938","2292265058","52.05%","10.88%"
"20190904","300346","南大光电","13.95","1.27","10.02%","502183","689702512","10.49%","13.95","12.62","12.62","12.68","1.36","13.64","107.82","4.76","5676127210","5136652636","48.88%","56.92%"
"20190904","002095","生意宝","23.72","2.16","10.02%","174524","408010976","10.67%","23.72","21.42","21.42","21.56","6.27","6.94","164.70","7.00","5994518226","5968855346","0.04%","22.97%"
"20190904","002201","九鼎新材","26.90","2.45","10.02%","506935","1343367344","8.79%","26.90","24.75","25.17","24.45","0.82","15.29","973.29","9.90","8943374816","8920990197","306.34%","333.17%"
"20190904","002730","电光科技","9.11","0.83","10.02%","71878","64781212","2.78%","9.11","8.88","8.88","8.28","4.82","2.47","37.48","3.05","2939560029","2646445863","14.45%","34.76%"
"20190904","300609","汇纳科技","44.94","4.09","10.01%","39439","175112634","9.11%","44.94","41.22","41.29","40.85","2.27","7.19","97.45","8.99","4533057215","2466497086","26.59%","63.42%"
"20190904","300448","浩云科技","7.36","0.67","10.01%","778582","561217696","7.17%","7.36","6.88","6.99","6.69","4.44","18.49","173.92","3.98","5099831080","3098382003","7.92%","-29.09%"
"20190904","603976","正川股份","19.45","1.77","10.01%","61527","115953636","10.75%","19.45","17.55","17.55","17.68","3.20","16.06","45.99","2.92","2940840115","744933823","25%","14.08%"
"20190904","603613","国联股份","58.04","5.28","10.01%","44992","255114627","6.56%","58.04","54.58","56.00","52.76","0.40","12.78","62.86","8.26","8172902729","2043588432","166.36%","166.36%"
"20190904","300410","正业科技","9.34","0.85","10.01%","65698","59796874","10.37%","9.34","8.46","8.50","8.49","0.94","1.84","44.37","1.89","3566596770","3333665432","-13.28%","-53.99%"
"20190904","000610","西安旅游","11.10","1.01","10.01%","378770","403205536","11.40%","11.10","9.95","10.08","10.09","2.50","16.10","-","3.06","2627901791","2611583326","3.67%","48.59%"
"20190904","600584","长电科技","16.81","1.53","10.01%","1613944","2674180992","10.67%","16.81","15.18","15.19","15.28","2.26","16.39","-","2.25","26944320414","16550621174","22.49%","101.82%"
"20190904","300622","博士眼镜","21.78","1.98","10.00%","65302","137393955","10.86%","21.78","19.63","19.70","19.80","2.53","12.01","52.89","5.42","2659207360","1184457726","12.27%","32.48%"
"20190904","300772","运达股份","15.18","1.38","10.00%","74280","112756447","0.00%","15.18","15.18","15.18","13.80","1.41","10.11","185.42","3.13","4462312890","1115578222","-7.33%","61.66%"
"20190904","300624","万兴科技","60.28","5.48","10.00%","47991","280257424","10.00%","60.28","54.80","55.10","54.80","1.82","9.71","43.48","7.15","4908449601","2977832542","17.39%","13.86%"
"20190904","600812","华北制药","9.24","0.84","10.00%","1873203","1688291568","12.02%","9.24","8.23","8.23","8.40","1.29","11.49","94.86","2.75","15068635323","15068635387","115.89%","130.42%"
"20190904","002850","科达利","30.68","2.79","10.00%","80245","238699739","11.04%","30.68","27.60","27.60","27.89","2.29","8.64","40.14","2.76","6442800064","2850114718","51.66%","57.09%"
"20190904","300789","唐源电气","82.52","7.50","10.00%","907","7484233","0.00%","82.52","82.52","82.52","75.02","2.27","0.79","45.75","5.79","3794497118","948979961","61.05%","61.05%"
"20190904","603186","华正新材","46.10","4.19","10.00%","67467","300461600","12.00%","46.10","41.07","41.90","41.91","1.22","9.15","64.85","8.51","5963034803","3398342662","56.62%","201.12%"
"20190904","600745","闻泰科技","60.84","5.53","10.00%","28739","174846616","0.00%","60.84","60.84","60.84","55.31","0.24","0.45","98.81","10.22","38771287082","38771286900","68.44%","190.68%"
"20190904","603755","日辰股份","36.42","3.31","10.00%","9843","35847915","0.00%","36.42","36.42","36.42","33.11","7.56","3.99","50.13","6.74","3591510081","898117155","61.08%","61.08%"
"20190904","000557","西部创业","3.74","0.34","10.00%","247926","91011318","11.18%","3.74","3.36","3.37","3.40","4.18","4.24","41.16","1.09","5454321523","2188817113","-4.83%","8.72%"
"20190904","300572","安车检测","56.76","5.16","10.00%","45195","246684415","10.79%","56.76","51.19","51.62","51.60","2.95","4.98","49.42","14.42","10991527359","5148318929","-19.72%","35.63%"
"20190904","600516","方大炭素","11.44","1.04","10.00%","1495586","1652375808","10.00%","11.44","10.40","10.41","10.40","5.20","5.50","10.75","2.17","31124537938","31100213788","-34.78%","-32.51%"
"20190904","300668","杰恩设计","20.57","1.87","10.00%","62556","125858630","11.71%","20.57","18.38","18.68","18.70","3.84","14.02","27.07","4.82","2168077968","917657060","6.3%","15.24%"
"20190904","002941","新疆交建","24.87","2.26","10.00%","160601","386895680","6.50%","24.87","23.40","23.50","22.61","2.60","24.71","1258.81","7.64","16041150541","1616550055","-6.26%","10.04%"
"20190904","300785","值得买","106.05","9.63","9.99%","55293","567464800","10.84%","106.06","95.61","95.96","96.42","2.38","41.47","60.42","8.33","5656000233","1414000111","159.16%","159.16%"
"20190904","300328","宜安科技","16.40","1.49","9.99%","436773","699514144","10.40%","16.40","14.85","14.91","14.91","1.57","9.49","133.17","6.09","7548631184","7548631184","70.48%","179.86%"
"20190904","002881","美格智能","36.67","3.33","9.99%","197456","692752720","9.42%","36.67","33.53","33.89","33.34","1.69","43.55","268.53","12.39","6649700798","1662581047","67.57%","92.61%"
"20190904","002134","天津普林","8.81","0.80","9.99%","77481","67760888","10.61%","8.81","7.96","8.08","8.01","1.68","3.15","188.69","5.64","2165936559","2165936559","18.1%","47.57%"
"20190904","300406","九强生物","16.74","1.52","9.99%","114315","186527392","10.12%","16.74","15.20","15.20","15.22","2.41","3.46","31.87","4.76","8399930051","5523135260","34.13%","73.29%"
"20190904","600136","当代明诚","12.66","1.15","9.99%","258349","312797616","10.51%","12.66","11.45","11.69","11.51","1.78","5.31","4.91","1.48","6167726400","6163928476","16.06%","48.38%"
"20190904","603530","神马电力","25.99","2.36","9.99%","102509","258584448","10.33%","25.99","23.55","23.61","23.63","0.83","25.60","88.20","10.32","10397156204","1040756286","203.98%","203.98%"
"20190904","300220","金运激光","42.61","3.87","9.99%","56252","232614730","9.32%","42.61","39.00","39.00","38.74","2.38","4.49","218.36","20.48","5368860077","5332707579","38.93%","335.69%"
"20190904","603936","博敏电子","25.76","2.34","9.99%","127902","318056896","9.18%","25.76","23.61","23.84","23.42","0.59","5.02","39.16","3.45","8115386242","6568260747","105.75%","82.57%"
"20190904","603386","广东骏亚","17.52","1.59","9.98%","67895","116462939","10.23%","17.52","15.89","15.99","15.93","1.19","11.98","159.32","5.33","3611628958","992946026","8.82%","6.25%"
"20190904","600131","岷江水电","18.52","1.68","9.98%","298935","532477232","10.75%","18.52","16.71","16.76","16.84","2.61","7.33","44.57","7.19","9336398101","7549843533","26.68%","203.11%"
