"DAY","STOCK_CODE","STOCK_NAME","CURRENT_PRICE","CHANGEMOUNT","CHANGEPERCENT","VOLUME","TURNOVER","AMPLITUDE","MAXIMUM","MINIMUM","OPEN_TODAY","CLOSE_YESTERDAY","QUANTITY_RELATIVE_RATIO","TURNOVER_RATE","PE","PB","TOTAL_MARKET_VALUE","CURRENT_MARKET","UP_DOWN_60","UP_DOWN_THIS_YEAR"
"20190905","002961","N瑞达","8.02","2.45","43.99%","626","500283","24.06%","8.02","6.68","6.68","5.57","-","0.14","26.03","2.16","3568900204","360900021","-16.71%","0%"
"20190905","300367","东方网力","6.23","0.57","10.07%","390427","234983431","8.30%","6.23","5.76","5.88","5.66","1.07","4.68","111.83","1.87","7449662797","5202427803","-34.42%","-26.88%"
"20190905","000609","中迪投资","5.36","0.49","10.06%","80433","41556981","9.65%","5.36","4.89","4.93","4.87","2.85","2.75","-","1.10","1604063238","1564979221","-0.74%","2.49%"
"20190905","000912","泸天化","5.47","0.50","10.06%","139355","74516704","9.66%","5.47","4.99","4.99","4.97","1.74","0.89","41.47","1.76","8576959671","8576959671","1.3%","16.88%"
"20190905","600291","西水股份","9.30","0.85","10.06%","261628","236126207","9.70%","9.30","8.48","8.49","8.45","1.64","2.39","-","0.93","10165498924","10165498980","-6.44%","-9.18%"
"20190905","300061","康旗股份","6.35","0.58","10.05%","52121","32046720","10.40%","6.35","5.75","5.80","5.77","0.84","1.90","54.00","1.89","4298403918","1743116833","-2.31%","7.45%"
"20190905","300088","长信科技","8.22","0.75","10.04%","2769269","2203771968","9.24%","8.22","7.53","7.74","7.47","1.61","12.27","21.42","3.78","18896792685","18549859304","66.4%","93.84%"
"20190905","300346","南大光电","15.35","1.40","10.04%","661307","985512736","8.17%","15.35","14.21","14.62","13.95","1.67","17.96","118.64","5.24","6245774626","5652159212","65.6%","72.67%"
"20190905","002622","融钰集团","3.18","0.29","10.03%","93979","29727349","7.96%","3.18","2.95","2.95","2.89","0.70","1.12","-","2.07","2671200056","2671128519","-1.24%","0.63%"
"20190905","300435","中泰股份","13.05","1.19","10.03%","32692","42170292","7.93%","13.05","12.11","12.11","11.86","1.00","2.76","39.21","3.86","3256014198","1547217836","-18.18%","35.09%"
"20190905","603093","南华期货","10.21","0.93","10.02%","1728","1764451","0.00%","10.21","10.21","10.21","9.28","2.19","0.25","37.14","2.48","5921800022","714700003","46.48%","46.48%"
"20190905","300492","山鼎设计","36.25","3.30","10.02%","2782","10084750","0.00%","36.25","36.25","36.25","32.95","0.18","0.46","120.90","10.56","3016000000","2181086882","69.47%","86.47%"
"20190905","300338","开元股份","9.99","0.91","10.02%","47499","47451970","0.00%","9.99","9.99","9.99","9.08","1.72","2.39","45.83","1.63","3448325064","1986929266","-3.1%","43.74%"
"20190905","600903","贵州燃气","13.28","1.21","10.02%","255191","324294160","9.94%","13.28","12.08","12.10","12.07","3.32","4.04","54.38","5.65","15115096855","8389283715","4.24%","-35.35%"
"20190905","603011","合锻智能","5.38","0.49","10.02%","87081","46726546","8.79%","5.38","4.95","4.95","4.89","2.99","1.94","296.53","1.48","2437542444","2415346747","7.17%","23.96%"
"20190905","002417","深南股份","10.99","1.00","10.01%","572856","621942064","6.11%","10.99","10.38","10.88","9.99","1.77","24.97","-","10.09","2967299938","2521721025","70.92%","21.98%"
"20190905","002941","新疆交建","27.36","2.49","10.01%","220172","600810896","3.98%","27.36","26.37","27.36","24.87","2.71","33.87","1384.84","8.41","17647200394","1778400040","6.46%","21.06%"
"20190905","603383","顶点软件","87.63","7.97","10.01%","63289","549854592","6.93%","87.63","82.11","82.11","79.66","1.84","10.78","145.63","10.38","10531832251","5144510022","31.48%","198.81%"
"20190905","300502","新易盛","38.34","3.49","10.01%","102349","385708688","5.39%","38.34","36.46","38.00","34.85","0.85","6.48","56.20","7.61","9065843847","6057621989","67.13%","97.63%"
"20190905","002959","小熊电器","73.43","6.68","10.01%","114925","816069696","6.47%","73.43","69.11","70.11","66.75","1.11","38.31","34.49","5.78","8811600037","2202900009","48.88%","48.88%"
"20190905","300085","银之杰","15.94","1.45","10.01%","150542","239896858","0.97%","15.94","15.80","15.90","14.49","0.43","3.63","-","8.47","11263849831","6616081730","19.94%","108.37%"
"20190905","600095","哈高科","9.02","0.82","10.00%","504316","437572480","9.76%","9.02","8.22","8.31","8.20","1.55","13.96","-","3.88","3258597522","3258597549","72.14%","138.62%"
"20190905","002201","九鼎新材","29.59","2.69","10.00%","332484","978972992","3.90%","29.59","28.54","29.00","26.90","0.55","10.03","1070.61","10.89","9837712488","9813089406","349.7%","376.49%"
