"DAY","STOCK_CODE","STOCK_NAME","CURRENT_PRICE","CHANGEMOUNT","CHANGEPERCENT","VOLUME","TURNOVER","AMPLITUDE","MAXIMUM","MINIMUM","OPEN_TODAY","CLOSE_YESTERDAY","QUANTITY_RELATIVE_RATIO","TURNOVER_RATE","PE","PB","TOTAL_MARKET_VALUE","CURRENT_MARKET","UP_DOWN_60","UP_DOWN_THIS_YEAR"
"20190902","300337","银邦股份","3.70","0.34","10.12%","62323","23059498","0.00%","3.70","3.70","3.70","3.36","0.31","0.88","-","2.14","3041104039","2618750336","-2.63%","7.25%"
"20190902","600821","津劝业","4.58","0.42","10.10%","13088","5994304","0.00%","4.58","4.58","4.58","4.16","0.34","0.31","-","11.95","1906508439","1906508434","6.51%","14.21%"
"20190902","000673","当代东方","3.16","0.29","10.10%","224496","70294689","9.41%","3.16","2.89","2.90","2.87","1.58","2.84","-","5.00","2501299465","2494852780","-18.13%","-32.62%"
"20190902","002098","浔兴股份","5.56","0.51","10.10%","58549","31911646","9.50%","5.56","5.08","5.15","5.05","0.88","1.64","22.05","3.27","1990479980","1990479980","-13.26%","-35.5%"
"20190902","300006","莱美药业","4.91","0.45","10.09%","502073","241310960","9.87%","4.91","4.47","4.47","4.46","1.88","7.48","37.02","2.38","3988104193","3296326748","-1.21%","35.26%"
"20190902","002413","雷科防务","6.66","0.61","10.08%","751452","484541936","10.08%","6.66","6.05","6.15","6.05","3.85","7.22","52.15","2.03","7200575052","6929217181","4.88%","25.66%"
"20190902","300264","佳创视讯","5.68","0.52","10.08%","313024","176400274","7.36%","5.68","5.30","5.30","5.16","4.80","9.71","-","4.43","2346407929","1831415068","-0.18%","20.59%"
"20190902","000056","皇庭国际","6.23","0.57","10.07%","678920","386868480","20.14%","6.23","5.09","5.31","5.66","0.87","7.51","40.63","1.35","7322401665","5630257953","40.32%","19.81%"
"20190902","300208","青岛中程","8.53","0.78","10.06%","126348","107729410","0.65%","8.53","8.48","8.53","7.75","2.33","1.97","-","3.08","6393021550","5457430502","19.3%","43.6%"
"20190902","002526","山东矿机","2.41","0.22","10.05%","346736","82552725","10.50%","2.41","2.18","2.20","2.19","1.17","2.13","19.04","1.68","4296533298","3921360805","1.26%","27.51%"
"20190902","002255","海陆重工","4.27","0.39","10.05%","114586","47394406","10.05%","4.27","3.88","3.89","3.88","2.17","1.78","12.85","0.92","3596497389","2751720733","-5.74%","8.65%"
"20190902","000555","神州信息","11.50","1.05","10.05%","303204","338843584","11.10%","11.50","10.34","10.34","10.45","2.44","3.24","42.90","2.23","11079459640","10748682000","-2.38%","21.69%"
"20190902","000662","天夏智慧","4.49","0.41","10.05%","412274","180374815","12.01%","4.49","4.00","4.07","4.08","2.83","3.77","37.71","0.86","4908008575","4907483254","-8.92%","-27.58%"
"20190902","603093","南华期货","7.67","0.70","10.04%","349","267369","0.00%","7.67","7.67","7.67","6.97","0.48","0.05","27.90","1.86","4448600044","536900005","10.04%","10.04%"
"20190902","002440","闰土股份","11.84","1.08","10.04%","399942","464989504","8.36%","11.84","10.94","10.95","10.76","4.43","4.27","8.23","1.65","13621920176","11097715118","-5.43%","31.85%"
"20190902","000802","北京文化","9.32","0.85","10.04%","227727","205850857","10.74%","9.32","8.41","8.41","8.47","4.09","3.20","-","1.34","6672190158","6629201706","-8.81%","-15.2%"
"20190902","002347","泰尔股份","5.04","0.46","10.04%","358277","173014004","11.79%","5.04","4.50","4.51","4.58","2.45","11.31","110.21","1.98","2252979079","1596545948","7.46%","36.59%"
"20190902","002758","华通医药","9.86","0.90","10.04%","71419","70007162","4.02%","9.86","9.50","9.86","8.96","2.97","3.96","53.71","3.33","2071944960","1777471091","8.11%","36.19%"
"20190902","000066","中国长城","11.73","1.07","10.04%","2674330","3024144800","10.04%","11.73","10.66","10.81","10.66","1.32","10.74","119.77","5.50","34347574141","29215936886","24.65%","149.04%"
"20190902","603669","灵康药业","7.89","0.72","10.04%","28075","21756822","8.65%","7.89","7.27","7.28","7.17","1.30","0.55","18.36","3.04","4020743932","4020743932","5.06%","-21.26%"
"20190902","603936","博敏电子","21.29","1.94","10.03%","235037","485550656","10.90%","21.29","19.18","19.18","19.35","1.09","9.22","32.36","2.85","6707165333","5428504506","76.24%","50.89%"
"20190902","600668","尖峰集团","13.49","1.23","10.03%","156958","205774652","6.12%","13.49","12.74","12.97","12.26","2.99","4.56","4.88","1.35","4641690761","4641690707","5.97%","17%"
"20190902","300490","华自科技","10.86","0.99","10.03%","28065","30005522","10.23%","10.86","9.85","9.85","9.87","1.16","1.42","54.46","1.69","2843343444","2143396951","-12.42%","-13.81%"
"20190902","002174","游族网络","14.92","1.36","10.03%","270103","398887296","5.90%","14.92","14.12","14.25","13.56","3.55","4.19","16.28","2.64","13255940733","9621708479","-13.46%","-19.13%"
"20190902","600188","兖州煤业","10.53","0.96","10.03%","170093","179062568","1.04%","10.53","10.43","10.53","9.57","1.83","0.57","4.82","0.95","51723527168","31167530387","1.74%","21.87%"
"20190902","300089","文化长城","3.84","0.35","10.03%","154591","57144771","10.32%","3.84","3.48","3.53","3.49","1.43","5.56","-","0.82","1847258340","1067042526","-7.91%","-27.13%"
"20190902","000595","宝塔实业","4.39","0.40","10.03%","354181","152295512","5.01%","4.39","4.19","4.27","3.99","0.80","4.71","-","5.98","3355185805","3300234447","53.5%","72.83%"
"20190902","601698","中国卫通","13.06","1.19","10.03%","932159","1198076064","4.63%","13.06","12.51","12.77","11.87","0.99","23.30","125.31","4.73","52240001678","5224000168","233.16%","233.16%"
"20190902","603000","人民网","21.97","2.00","10.02%","742945","1552776112","12.12%","21.97","19.55","19.75","19.97","1.59","6.72","282.26","8.82","24292031741","24292031741","15.01%","197.95%"
"20190902","603129","春风动力","26.69","2.43","10.02%","75514","192340985","12.65%","26.69","23.62","24.00","24.26","1.21","11.51","17.27","3.75","3586746398","1750812096","35.78%","67.44%"
"20190902","300114","中航电测","11.31","1.03","10.02%","271282","299610176","9.24%","11.31","10.36","10.36","10.28","1.73","4.59","26.86","4.30","6681501492","6681501458","26.65%","56.65%"
"20190902","300167","迪威迅","6.48","0.59","10.02%","292719","181331101","12.39%","6.48","5.75","5.79","5.89","1.24","9.75","726.55","3.55","1945555206","1945555206","32.79%","25.34%"
"20190902","600146","商赢环球","19.32","1.76","10.02%","253450","474546032","8.54%","19.32","17.82","17.82","17.56","1.64","12.67","-","9.31","9079820257","3863999939","47.26%","196.32%"
"20190902","002111","威海广泰","15.71","1.43","10.01%","445339","683585360","6.30%","15.71","14.81","15.02","14.28","4.66","13.09","26.49","2.33","5998510102","5345887543","24.19%","58.05%"
"20190902","603755","日辰股份","30.10","2.74","10.01%","1240","3731557","0.00%","30.10","30.10","30.10","27.36","3.48","0.50","41.43","5.57","2968271836","742266009","33.13%","33.13%"
"20190902","600521","华海药业","16.93","1.54","10.01%","479965","796155856","7.34%","16.93","15.80","16.38","15.39","4.13","3.88","31.63","4.80","21176698523","20933503301","23.4%","61.85%"
"20190902","300525","博思软件","24.17","2.20","10.01%","73904","172451222","12.06%","24.17","21.52","22.00","21.97","2.22","5.32","-","8.38","4699953195","3359796904","24.65%","-0.37%"
"20190902","300581","晨曦航空","24.06","2.19","10.01%","110499","259734461","7.04%","24.06","22.52","23.61","21.87","0.89","18.52","125.56","6.56","4132545508","1435419568","71.49%","95.61%"
"20190902","603218","日月股份","22.20","2.02","10.01%","66376","144551070","9.86%","22.20","20.21","20.47","20.18","1.68","5.14","27.47","3.81","11795903805","2869522482","16.23%","32.7%"
"20190902","603133","碳元科技","19.89","1.81","10.01%","119399","227316453","11.84%","19.89","17.75","17.76","18.08","1.23","10.66","-","4.67","4186944322","2227299933","32.27%","27.84%"
"20190902","600745","闻泰科技","50.28","4.57","10.00%","32734","164587910","0.00%","50.28","50.28","50.28","45.71","0.19","0.51","81.66","8.44","32041753160","32041753010","37.41%","140.23%"
"20190902","603068","博通集成","111.07","10.10","10.00%","48457","519791872","10.90%","111.07","100.06","100.06","100.97","1.09","13.97","140.03","14.85","15406912179","3851728100","121.43%","313.98%"
"20190902","002670","国盛金控","11.11","1.01","10.00%","504178","550100496","9.80%","11.11","10.12","10.12","10.10","4.56","3.11","38.40","1.83","21498789830","18030483681","0.73%","9.24%"
"20190902","603186","华正新材","40.70","3.70","10.00%","83107","325649856","10.86%","40.70","36.68","36.68","37.00","1.98","11.27","57.25","7.52","5264545099","3000272310","37.73%","165.83%"
"20190902","300591","万里马","6.93","0.63","10.00%","65138","45068315","0.48%","6.93","6.90","6.90","6.30","1.86","5.69","84.23","4.27","2162159946","792791980","12.14%","19.48%"
"20190902","002020","京新药业","13.97","1.27","10.00%","472814","642633088","9.76%","13.97","12.73","12.78","12.70","2.79","8.03","15.54","2.83","10126462034","8221258655","32.44%","65.95%"
"20190902","300672","国科微","35.54","3.23","10.00%","135293","461631984","10.99%","35.54","31.99","32.31","32.31","5.40","12.35","-","6.16","6397003344","3893187641","-27.95%","-0.39%"
"20190902","300324","旋极信息","5.61","0.51","10.00%","771023","418942048","10.39%","5.61","5.08","5.08","5.10","1.70","7.31","34.67","1.88","9597602786","5917483074","4.47%","-2.43%"
"20190902","002678","珠江钢琴","7.48","0.68","10.00%","24242","17423621","11.18%","7.48","6.72","6.83","6.80","2.83","0.18","49.30","3.07","10160236042","10150219163","-0.27%","30.77%"
"20190902","600536","中国软件","81.51","7.41","10.00%","336905","2611571296","9.14%","81.51","74.74","76.71","74.10","0.93","6.81","-","20.55","40311813417","40311813580","40.53%","287.22%"
"20190902","603690","至纯科技","24.65","2.24","10.00%","68019","164328896","11.11%","24.65","22.16","22.16","22.41","1.63","7.38","73.78","4.82","6361944481","2272138365","36.57%","67.12%"
"20190902","300252","金信诺","10.78","0.98","10.00%","226139","238005977","9.80%","10.78","9.82","9.85","9.80","2.38","5.97","102.00","2.61","6228725176","4082274994","-5.52%","-1.73%"
"20190902","300713","英可瑞","14.41","1.31","10.00%","37046","52547392","10.00%","14.41","13.10","13.10","13.10","0.77","5.77","213.32","2.86","2066934353","925464271","-42.45%","-31.71%"
"20190902","603613","国联股份","47.96","4.36","10.00%","88997","413610048","10.00%","47.96","43.60","43.60","43.60","0.79","25.28","51.94","6.83","6753487271","1688671568","120.1%","120.1%"
"20190902","300033","同花顺","97.97","8.91","10.00%","222003","2113950416","9.87%","97.97","89.18","89.18","89.06","2.35","8.40","99.54","15.73","52668672656","25893701944","11.22%","156.33%"
"20190902","300789","唐源电气","68.20","6.20","10.00%","528","3600960","0.00%","68.20","68.20","68.20","62.00","3.03","0.46","37.81","4.79","3136024023","784299965","33.1%","33.1%"
"20190902","300676","华大基因","68.22","6.20","10.00%","101709","667238384","9.71%","68.22","62.20","62.20","62.02","2.65","4.16","68.94","6.35","27294822488","16679904840","18.03%","11.84%"
"20190902","300223","北京君正","50.84","4.62","10.00%","161429","793987744","10.02%","50.84","46.21","46.21","46.22","1.37","12.67","138.46","8.57","10235493588","6478805689","78.76%","178.12%"
"20190902","300438","鹏辉能源","16.61","1.51","10.00%","84673","136842576","10.60%","16.61","15.01","15.17","15.10","3.50","3.99","17.11","2.01","4669932782","3525337723","-0.54%","1.53%"
"20190902","002417","深南股份","8.25","0.75","10.00%","418134","340876128","6.93%","8.25","7.73","7.88","7.50","2.35","18.22","-","7.58","2227500000","1893011728","18.19%","-8.44%"
"20190902","300526","中潜股份","49.93","4.54","10.00%","30069","145896512","10.00%","49.93","45.39","45.39","45.39","0.72","1.77","356.70","15.50","8521094595","8493179980","244.58%","349.82%"
"20190902","300014","亿纬锂能","39.59","3.60","10.00%","161445","630871648","4.45%","39.59","37.99","38.00","35.99","0.98","1.97","38.38","5.88","38421104092","32428774060","59.25%","148.84%"
"20190902","002357","富临运业","6.49","0.59","10.00%","77204","49448204","10.85%","6.49","5.85","5.88","5.90","2.83","2.46","13.85","1.83","2034543772","2032896792","-4.56%","15.89%"
"20190902","300379","东方通","24.09","2.19","10.00%","368777","861825168","8.63%","24.09","22.20","22.50","21.90","2.28","16.00","74.89","4.55","6673693888","5552198843","15.71%","70.73%"
"20190902","000547","航天发展","12.00","1.09","9.99%","917557","1078002064","7.33%","12.00","11.20","11.50","10.91","3.96","8.33","43.25","2.62","19268146572","13222467264","25.26%","62.16%"
"20190902","002771","真视通","11.23","1.02","9.99%","15537","17448275","0.00%","11.23","11.23","11.23","10.21","0.54","1.21","114.94","3.51","2357104807","1442570580","0.45%","0.99%"
"20190902","002777","久远银海","32.69","2.97","9.99%","43807","140679041","8.34%","32.69","30.21","30.23","29.72","1.24","2.31","59.22","7.06","7332457211","6210511319","38.22%","40.18%"
"20190902","002343","慈文传媒","7.82","0.71","9.99%","113578","85460316","9.70%","7.82","7.13","7.13","7.11","1.93","2.82","21.85","2.38","3714106626","3146691496","-5.56%","-13.4%"
"20190902","600677","航天通信","14.53","1.32","9.99%","572891","813182208","9.54%","14.53","13.27","13.28","13.21","2.20","12.62","-","2.34","7581633262","6594072363","-14.93%","39.44%"
"20190902","000988","华工科技","19.16","1.74","9.99%","741003","1377434832","10.05%","19.16","17.41","17.42","17.42","1.34","7.37","29.08","3.24","19265431713","19259190707","26.97%","57.05%"
"20190902","300487","蓝晓科技","32.92","2.99","9.99%","77856","251019894","9.99%","32.92","29.93","30.02","29.93","3.40","7.07","23.93","6.33","6799419872","3622761457","9.37%","33.06%"
"20190902","300414","中光防雷","14.09","1.28","9.99%","117158","162249840","9.99%","14.09","12.81","12.82","12.81","0.61","3.91","95.62","5.35","4575494585","4217552532","17.22%","-9.45%"
"20190902","300475","聚隆科技","15.32","1.39","9.98%","27967","42377093","10.34%","15.32","13.88","14.00","13.93","0.95","2.17","43.84","2.44","3063999939","1976803721","24.25%","84.58%"
"20190902","601811","新华文轩","13.33","1.21","9.98%","87187","114573225","9.24%","13.33","12.21","12.44","12.12","4.51","1.10","14.19","1.89","16447100436","10556078980","8.37%","46%"
"20190902","300621","维业股份","13.88","1.26","9.98%","89199","118611850","9.35%","13.88","12.70","12.70","12.62","1.51","13.86","23.97","3.13","2890412864","893319514","37.15%","42.65%"
"20190902","603501","韦尔股份","96.85","8.79","9.98%","107539","1012979376","11.21%","96.87","87.00","88.06","88.06","1.81","7.65","1654.09","5.41","83645672873","13610852694","115.71%","231%"
"20190902","002481","双塔食品","9.48","0.86","9.98%","1885844","1759188592","10.21%","9.48","8.60","8.75","8.62","1.60","17.03","63.29","4.40","11787336631","10495569596","17.18%","243.48%"
"20190902","603636","南威软件","11.24","1.02","9.98%","266101","295512240","6.46%","11.24","10.58","10.70","10.22","2.03","5.07","120.90","3.44","5919933345","5897062463","15.28%","16%"
"20190902","300447","全信股份","12.35","1.12","9.97%","42114","50684569","9.62%","12.35","11.27","11.27","11.23","1.18","2.42","25.05","3.51","3597170013","2151762994","25.13%","32.65%"
"20190902","000032","深桑达A","11.25","1.02","9.97%","105979","113332687","11.93%","11.25","10.03","10.18","10.23","1.09","2.58","44.46","3.36","4648721186","4626941220","15.74%","55.82%"
"20190902","002806","华锋股份","17.20","1.56","9.97%","55444","92744115","7.16%","17.20","16.08","16.23","15.64","2.57","6.17","1037.70","2.42","3031314409","1545116145","0.94%","-6.62%"
"20190902","300326","凯利泰","11.81","1.07","9.96%","260703","301099104","9.22%","11.81","10.82","10.82","10.74","1.89","3.70","27.73","3.36","8530709431","8320955934","28.37%","48.93%"
"20190902","000655","金岭矿业","5.63","0.51","9.96%","391618","211636764","9.38%","5.63","5.15","5.16","5.12","3.87","6.58","19.87","1.35","3351765563","3351765529","2.18%","66.08%"
"20190902","000017","深中华A","6.19","0.56","9.95%","617814","353802688","17.41%","6.19","5.21","5.47","5.63","1.06","20.39","-","252.67","3412843823","1875452457","38.43%","33.18%"
"20190902","002274","华昌化工","7.19","0.65","9.94%","951545","671944896","7.80%","7.19","6.68","6.74","6.54","3.43","10.14","17.48","2.49","6847501859","6744213842","2.28%","43.23%"
"20190902","600622","光大嘉宝","4.43","0.40","9.93%","331697","142715205","10.17%","4.43","4.02","4.02","4.03","2.28","2.21","14.09","1.08","6643606073","6643606100","-33.58%","-21.87%"
"20190902","603309","维力医疗","19.73","1.78","9.92%","175363","307353920","20.00%","19.75","16.16","16.16","17.95","2.49","8.77","27.56","4.03","3945999908","3945999908","8.53%","100.3%"
"20190902","603959","百利科技","11.82","1.04","9.65%","93211","106764266","11.50%","11.86","10.62","10.79","10.78","1.72","2.12","64.24","4.64","5189452666","5189452666","-11.53%","-20.78%"
"20190902","601949","中国出版","6.91","0.60","9.51%","522814","355720096","10.46%","6.94","6.28","6.32","6.31","2.58","13.04","27.16","2.09","12593474722","2770948193","12.87%","58.58%"
"20190902","603300","华铁科技","9.12","0.78","9.35%","275791","240716302","9.23%","9.17","8.40","8.76","8.34","6.55","6.07","13.75","2.62","4285226640","4145462678","10.99%","86.65%"
"20190902","002395","双象股份","24.35","2.07","9.29%","31286","73806070","10.64%","24.48","22.11","22.35","22.28","4.07","1.75","107.97","5.17","4353926168","4353926168","9.68%","125.46%"
"20190902","600961","株冶集团","9.03","0.76","9.19%","38836","33846701","9.67%","9.10","8.30","8.30","8.27","4.04","0.74","-","-3.21","4762944823","4762944877","-5.94%","19.6%"
"20190902","603236","移远通信","153.49","12.86","9.14%","45550","672851088","10.37%","154.69","140.11","143.10","140.63","1.26","20.43","87.50","8.35","13688238690","3422827122","140.74%","140.74%"
"20190902","603456","九洲药业","12.25","1.02","9.08%","116984","136972960","10.51%","12.30","11.12","11.24","11.23","1.51","1.46","48.15","3.63","9872142345","9811681208","51.34%","86.44%"
"20190902","300034","钢研高纳","18.45","1.52","8.98%","251309","446799008","9.63%","18.56","16.93","16.93","16.93","2.78","5.96","49.30","4.44","8509034763","7776209201","38.41%","110.38%"
"20190902","000065","北方国际","9.36","0.77","8.96%","211734","194850922","10.01%","9.45","8.59","8.67","8.59","3.71","3.37","9.98","1.61","7202570373","5886911880","4.35%","23.32%"
"20190902","300726","宏达电子","28.72","2.36","8.95%","321876","909799536","10.70%","29.00","26.18","26.26","26.36","2.31","29.88","31.79","7.01","11490871725","3094077326","21.93%","56.52%"
"20190902","300782","卓胜微","331.00","27.00","8.88%","24349","778178672","10.18%","333.00","302.04","303.02","304.00","1.19","9.74","108.29","22.72","33100000000","8275000000","551.32%","551.32%"
"20190902","300346","南大光电","12.07","0.98","8.84%","411984","479208560","11.72%","12.20","10.90","11.09","11.09","1.20","11.19","93.29","4.12","4911172375","4444401190","32.78%","35.77%"
"20190902","002555","三七互娱","16.80","1.35","8.74%","469578","764727216","9.84%","16.99","15.47","15.49","15.45","2.04","3.56","17.17","6.17","35485826898","22144420102","34.42%","76.88%"
"20190902","002463","沪电股份","23.45","1.86","8.62%","1417513","3246795744","9.17%","23.75","21.77","21.77","21.59","1.32","8.40","42.27","9.22","40444623478","39590320745","121.13%","227.54%"
"20190902","002242","九阳股份","23.95","1.88","8.52%","105756","248275401","9.24%","24.17","22.13","22.13","22.07","1.70","1.39","22.63","4.99","18378536035","18274773711","16.09%","55.82%"
"20190902","002938","鹏鼎控股","36.80","2.87","8.46%","166265","589028112","11.88%","37.03","33.00","33.63","33.93","1.68","7.19","69.80","4.88","85060652265","8506065241","42.16%","109.27%"
"20190902","603888","新华网","22.75","1.76","8.38%","237387","517243616","11.53%","23.00","20.58","21.00","20.99","1.66","13.45","50.79","4.44","11807917940","4014692045","9.97%","71.27%"
"20190902","000768","中航飞机","17.41","1.34","8.34%","795176","1343100304","7.34%","17.48","16.30","16.41","16.07","3.42","2.87","107.46","2.98","48202110264","48201813893","12.61%","31.4%"
"20190902","300563","神宇股份","31.32","2.40","8.30%","39026","119188773","9.23%","31.44","28.77","28.77","28.92","1.81","12.68","50.28","5.01","2505599976","963998271","-11.58%","22.75%"
"20190902","600711","盛屯矿业","5.92","0.45","8.23%","1835612","1090456800","4.94%","6.02","5.75","6.02","5.47","3.87","12.08","106.68","1.55","13663562610","8997477448","10.86%","30.97%"
"20190902","300118","东方日升","12.39","0.94","8.21%","372313","455145152","8.47%","12.60","11.63","11.63","11.45","1.73","5.35","11.52","1.43","11167849978","8620553072","18.11%","116.08%"
"20190902","600760","中航沈飞","35.58","2.70","8.21%","397864","1368721648","9.95%","36.17","32.90","33.30","32.88","2.22","9.98","57.86","5.99","49825853324","14179416905","24.87%","27.29%"
"20190902","601015","陕西黑猫","3.58","0.27","8.16%","334800","118553307","9.37%","3.63","3.32","3.32","3.31","2.54","2.30","-","1.04","5834646189","5222277805","-11.17%","-31.15%"
"20190902","300602","飞荣达","41.90","3.14","8.10%","149532","611126352","9.29%","42.40","38.80","38.80","38.76","1.15","15.71","41.17","9.72","12831959267","3987047020","59.8%","24.22%"
"20190902","300702","天宇股份","46.20","3.44","8.04%","103555","462804640","9.17%","46.82","42.90","42.90","42.76","1.06","19.52","16.57","4.97","8419452288","2451239308","42.68%","119.27%"
"20190902","002791","坚朗五金","18.72","1.39","8.02%","44765","82938010","9.98%","19.06","17.33","17.33","17.33","2.14","2.78","24.94","2.19","6019228579","3015910443","23.58%","89.37%"
"20190902","300533","冰川网络","43.62","3.20","7.92%","41170","172915957","11.83%","44.38","39.60","40.19","40.42","1.90","6.81","27.68","2.72","4396075836","2638213652","28.11%","37.67%"
"20190902","603232","格尔软件","28.68","2.10","7.90%","54140","152382444","10.68%","29.24","26.40","26.61","26.58","1.58","7.45","226.05","5.74","3477966277","2083928974","16.96%","26.91%"
"20190902","000733","振华科技","18.02","1.31","7.84%","262045","463274720","8.08%","18.18","16.83","16.83","16.71","1.73","5.58","21.17","1.80","9276797472","8457547091","14.71%","63.58%"
"20190902","300451","创业慧康","17.22","1.25","7.83%","282693","475278656","8.14%","17.30","16.00","16.11","15.97","1.53","5.18","50.11","5.16","12541884151","9397547646","-18.77%","-9.89%"
"20190902","300395","菲利华","20.33","1.47","7.79%","91550","183481691","10.34%","20.66","18.71","18.80","18.86","2.13","3.40","32.17","5.56","6089383887","5470461761","18.51%","41.57%"
"20190902","002303","美盈森","4.98","0.36","7.79%","373308","183688222","10.17%","5.08","4.61","4.61","4.62","1.68","2.44","23.09","1.57","7625991981","7623176542","-5.5%","11.16%"
"20190902","603678","火炬电子","24.91","1.80","7.79%","100878","245602600","8.52%","25.08","23.11","23.20","23.11","2.26","2.24","26.43","3.81","11275908745","11241618686","24.61%","65.85%"
"20190902","601615","明阳智能","12.06","0.87","7.77%","414027","491045216","7.24%","12.15","11.34","11.35","11.19","1.51","15.01","24.92","2.83","16639452458","3327354116","13.56%","76.32%"
"20190902","300115","长盈精密","12.93","0.93","7.75%","365906","461334224","8.92%","13.14","12.07","12.16","12.00","1.34","4.04","49.07","2.72","11764493465","11707106736","23.85%","58.07%"
