"DAY","STOCK_CODE","STOCK_NAME","CURRENT_PRICE","CHANGEMOUNT","CHANGEPERCENT","VOLUME","TURNOVER","AMPLITUDE","MAXIMUM","MINIMUM","OPEN_TODAY","CLOSE_YESTERDAY","QUANTITY_RELATIVE_RATIO","TURNOVER_RATE","PE","PB","TOTAL_MARKET_VALUE","CURRENT_MARKET","UP_DOWN_60","UP_DOWN_THIS_YEAR"
"20190906","300647","超频三","15.85","-0.03","-0.19%","63468","100329203","2.90%","15.98","15.52","15.98","15.88","0.82","7.95","220.22","6.39","3771997483","1266123390","16.12%","7.38%"
"20190906","300525","博思软件","25.73","-0.05","-0.19%","41039","105513517","5.04%","26.30","25.00","25.58","25.78","0.70","2.95","-","8.92","5003301331","3576647602","32.44%","5.85%"
"20190906","000565","渝三峡A","5.25","-0.01","-0.19%","17780","9333366","2.09%","5.31","5.20","5.27","5.26","0.74","0.41","38.77","2.07","2276359155","2276359176","-5.91%","24.11%"
"20190906","002203","海亮股份","10.48","-0.02","-0.19%","76952","80238092","2.57%","10.55","10.28","10.51","10.50","0.78","0.47","15.89","2.47","20458084994","17122622163","-7.75%","36.46%"
"20190906","600500","中化国际","5.30","-0.01","-0.19%","72124","38305282","1.32%","5.35","5.28","5.35","5.31","0.65","0.27","13.23","1.28","14351957818","14351957860","-23.93%","-19.05%"
"20190906","000089","深圳机场","10.65","-0.02","-0.19%","243909","259703000","1.78%","10.77","10.58","10.70","10.67","0.62","1.19","35.48","1.85","21840694489","21840694435","27.39%","39.58%"
"20190906","603868","飞科电器","36.42","-0.07","-0.19%","3940","14319434","2.00%","36.78","36.05","36.50","36.49","0.61","0.09","23.56","6.96","15864551202","15864551202","-1.68%","-1.75%"
"20190906","002576","通达动力","10.75","-0.02","-0.19%","23809","25574552","2.04%","10.84","10.62","10.77","10.77","0.77","1.45","58.96","2.02","1774825000","1767463980","-1.83%","0.94%"
"20190906","002024","苏宁易购","10.71","-0.02","-0.19%","306236","327407568","0.65%","10.73","10.66","10.73","10.73","0.71","0.39","23.30","1.23","99710525060","83272277143","-1.57%","6.58%"
"20190906","002926","华西证券","10.44","-0.02","-0.19%","287903","300679984","2.87%","10.63","10.33","10.50","10.46","0.78","1.62","16.07","1.45","27404998899","18563858527","-0.48%","24.05%"
"20190906","300317","珈伟新能","4.93","-0.01","-0.20%","96783","47538070","3.24%","5.00","4.84","5.00","4.94","0.65","1.47","-","1.40","4139895383","3235209449","-6.81%","6.02%"
"20190906","603666","亿嘉和","64.75","-0.13","-0.20%","10419","67041026","3.70%","65.51","63.11","64.95","64.88","1.01","3.69","40.64","6.25","6361407132","1828907132","18.37%","41.34%"
"20190906","002011","盾安环境","5.05","-0.01","-0.20%","116694","59198358","1.98%","5.12","5.02","5.08","5.06","0.88","1.28","4.65","1.70","4631921684","4613685749","14.45%","19.29%"
"20190906","600939","重庆建工","4.96","-0.01","-0.20%","40750","20223991","1.81%","5.02","4.93","4.96","4.97","0.65","0.99","13.03","1.37","8999920069","2031494912","-0.6%","6.45%"
"20190906","600814","杭州解百","5.11","-0.01","-0.20%","17326","8875666","1.56%","5.17","5.09","5.11","5.12","0.78","0.24","15.77","1.52","3653786829","3653786798","-2.48%","1.39%"
"20190906","000516","国际医学","4.95","-0.01","-0.20%","105879","52354773","1.61%","4.99","4.91","4.97","4.96","0.84","0.55","970.82","1.81","9756693669","9548557790","-3.7%","0.2%"
"20190906","600875","东方电气","9.74","-0.02","-0.20%","136035","133014746","2.56%","9.93","9.68","9.78","9.76","0.71","0.68","20.63","1.05","30104424711","19449809127","-5.98%","23.6%"
"20190906","600283","钱江水利","9.85","-0.02","-0.20%","15543","15280969","1.52%","9.92","9.77","9.90","9.87","0.64","0.44","-","1.94","3477008351","3477008371","-10.2%","-13.13%"
