"ID","CONCEPT_CODE","CONCEPT_NAME","STOCK_CODE","STOCK_NAME"
"134","BK0822","租售同权","000560","我爱我家"
"135","BK0822","租售同权","002285","世联行"
"136","BK0822","租售同权","000056","皇庭国际"
"137","BK0822","租售同权","002280","联络互动"
"138","BK0822","租售同权","002377","国创高新"
"139","BK0816","昨日连板","000533","万家乐"
"140","BK0816","昨日连板","600864","哈投股份"
"141","BK0816","昨日连板","300283","温州宏丰"
"142","BK0816","昨日连板","300069","金利华电"
"143","BK0816","昨日连板","603389","亚振家居"
"144","BK0816","昨日连板","000835","长城动漫"
"145","BK0816","昨日连板","000018","神州长城"
"146","BK0816","昨日连板","002295","精艺股份"
"147","BK0816","昨日连板","000622","恒立实业"
"148","BK0816","昨日连板","300525","博思软件"
"149","BK0816","昨日连板","000966","长源电力"
"150","BK0816","昨日连板","600446","金证股份"
"151","BK0816","昨日连板","603186","华正新材"
"152","BK0816","昨日连板","002143","印纪传媒"
"153","BK0816","昨日连板","002076","雪莱特"
"154","BK0816","昨日连板","600393","粤泰股份"
"155","BK0816","昨日连板","300505","川金诺"
"156","BK0816","昨日连板","300187","永清环保"
"157","BK0816","昨日连板","600463","空港股份"
"158","BK0816","昨日连板","002534","杭锅股份"
"159","BK0816","昨日连板","600250","南纺股份"
"160","BK0816","昨日连板","600243","青海华鼎"
"161","BK0816","昨日连板","300299","富春股份"
"162","BK0816","昨日连板","000638","万方发展"
"163","BK0506","创投","600235","民丰特纸"
"164","BK0506","创投","600604","市北高新"
"165","BK0506","创投","600053","九鼎投资"
"166","BK0506","创投","600082","海泰发展"
"167","BK0506","创投","600770","综艺股份"
"168","BK0506","创投","600783","鲁信创投"
"169","BK0506","创投","000158","常山北明"
"170","BK0506","创投","600895","张江高科"
"171","BK0506","创投","002089","新海宜"
"172","BK0506","创投","600624","复旦复华"
"173","BK0506","创投","000851","高鸿股份"
"174","BK0506","创投","002079","苏州固锝"
"175","BK0506","创投","600630","龙头股份"
"176","BK0506","创投","600635","大众公用"
"177","BK0506","创投","300688","创业黑马"
"178","BK0506","创投","600210","紫江企业"
"179","BK0506","创投","300300","汉鼎宇佑"
"180","BK0506","创投","600689","上海三毛"
"181","BK0506","创投","000931","中关村"
"182","BK0506","创投","000948","南天信息"
"183","BK0506","创投","600796","钱江生化"
"184","BK0506","创投","600226","瀚叶股份"
"185","BK0506","创投","000532","华金资本"
"186","BK0506","创投","600128","弘业股份"
"187","BK0506","创投","600736","苏州高新"
"188","BK0506","创投","600064","南京高科"
"189","BK0506","创投","000917","电广传媒"
"190","BK0506","创投","000988","华工科技"
"191","BK0506","创投","300712","永福股份"
"192","BK0506","创投","600283","钱江水利"
"193","BK0506","创投","600100","同方股份"
"194","BK0506","创投","002245","澳洋顺昌"
"195","BK0506","创投","600282","南钢股份"
"196","BK0506","创投","000959","首钢股份"
"197","BK0506","创投","600366","宁波韵升"
"198","BK0506","创投","000423","东阿阿胶"
"199","BK0506","创投","000938","紫光股份"
"200","BK0506","创投","600266","北京城建"
"201","BK0506","创投","000709","河钢股份"
"202","BK0506","创投","600387","海越能源"
"203","BK0506","创投","000936","华西股份"
"204","BK0506","创投","002161","远望谷"
"205","BK0506","创投","000504","南华生物"
"206","BK0506","创投","600705","中航资本"
"207","BK0506","创投","600309","万华化学"
"208","BK0506","创投","600862","中航高科"
"209","BK0506","创投","600231","凌钢股份"
"210","BK0506","创投","600133","东湖高新"
"211","BK0506","创投","600196","复星医药"
"212","BK0506","创投","000998","隆平高科"
"213","BK0506","创投","600781","辅仁药业"
"214","BK0506","创投","600110","诺德股份"
"215","BK0506","创投","000009","中国宝安"
"216","BK0506","创投","000027","深圳能源"
"217","BK0506","创投","600213","亚星客车"
"218","BK0506","创投","000811","冰轮环境"
"219","BK0506","创投","600718","东软集团"
"220","BK0506","创投","600557","康缘药业"
"221","BK0506","创投","600207","安彩高科"
"222","BK0506","创投","600880","博瑞传播"
"223","BK0506","创投","000089","深圳机场"
"224","BK0506","创投","000966","长源电力"
"225","BK0506","创投","600232","金鹰股份"
"226","BK0506","创投","000088","盐田港"
"227","BK0506","创投","600811","东方集团"
"228","BK0506","创投","000729","燕京啤酒"
"229","BK0506","创投","600160","巨化股份"
"230","BK0506","创投","000062","深圳华强"
"231","BK0506","创投","000627","天茂集团"
"232","BK0506","创投","000657","中钨高新"
"233","BK0506","创投","600089","特变电工"
"234","BK0506","创投","000539","粤电力A"
"235","BK0506","创投","600020","中原高速"
"236","BK0506","创投","600642","申能股份"
