"DAY","STOCK_CODE","STOCK_NAME","CURRENT_PRICE","CHANGEMOUNT","CHANGEPERCENT","VOLUME","TURNOVER","AMPLITUDE","MAXIMUM","MINIMUM","OPEN_TODAY","CLOSE_YESTERDAY","QUANTITY_RELATIVE_RATIO","TURNOVER_RATE","PE","PB","TOTAL_MARKET_VALUE","CURRENT_MARKET","UP_DOWN_60","UP_DOWN_THIS_YEAR"
"20190903","688018","乐鑫科技","163.68","27.28","20.00%","71386","1114126496","20.75%","163.68","135.38","136.00","136.40","3.94","40.94","102.87","8.69","13094399414","2854106692","26.78%","26.78%"
"20190903","688028","沃尔德","121.50","15.20","14.30%","76381","887592928","17.95%","123.50","104.42","105.06","106.30","1.63","42.08","154.21","11.62","9720000000","2205526198","113.16%","113.16%"
"20190903","688019","安集科技","161.98","18.77","13.11%","32555","511904032","16.76%","166.80","142.80","143.50","143.21","2.65","28.13","147.02","10.11","8602495165","1874911323","-17.92%","-18.11%"
"20190903","000673","当代东方","3.48","0.32","10.13%","253270","86636577","6.96%","3.48","3.26","3.30","3.16","1.52","3.21","-","5.50","2754595553","2747496040","-11%","-25.8%"
"20190903","000005","世纪星源","3.48","0.32","10.13%","965171","330930688","10.13%","3.48","3.16","3.18","3.16","5.52","9.12","29.60","2.37","3683708230","3681652935","22.54%","30.34%"
"20190903","600545","卓郎智能","6.99","0.64","10.08%","79698","55708888","0.00%","6.99","6.99","6.99","6.35","1.94","1.18","23.83","2.94","13248936401","4723742420","-3.72%","-5.28%"
"20190903","002098","浔兴股份","6.12","0.56","10.07%","125378","76724717","1.80%","6.12","6.02","6.12","5.56","1.82","3.50","24.27","3.60","2190959959","2190959959","-2.08%","-29%"
"20190903","000908","景峰医药","4.70","0.43","10.07%","290287","134323774","10.54%","4.70","4.25","4.27","4.27","2.64","4.10","32.80","1.63","4134939282","3328833070","7.8%","5.38%"
"20190903","002518","科士达","8.75","0.80","10.06%","156763","132292848","10.19%","8.75","7.94","7.99","7.95","3.56","2.80","20.69","2.10","5096397198","4895258620","-4.48%","20.86%"
"20190903","002417","深南股份","9.08","0.83","10.06%","244957","222167686","3.27%","9.08","8.81","9.08","8.25","1.14","10.68","-","8.34","2451599979","2083460163","36.34%","0.78%"
"20190903","300490","华自科技","11.95","1.09","10.04%","40558","48114223","4.14%","11.95","11.50","11.50","10.86","1.49","2.05","59.93","1.85","3128725110","2358526148","-1.16%","-5.16%"
"20190903","600821","津劝业","5.04","0.46","10.04%","7660","3860786","0.00%","5.04","5.04","5.04","4.58","0.21","0.18","-","13.15","2097991838","2097991833","20%","25.69%"
"20190903","002600","领益智造","9.10","0.83","10.04%","2292588","2015720000","10.64%","9.10","8.22","8.27","8.27","1.01","13.30","27.86","5.64","62086691267","15689871800","42.86%","266.94%"
"20190903","002326","永太科技","8.33","0.76","10.04%","254586","212032031","1.19%","8.33","8.24","8.33","7.57","4.38","4.20","24.08","2.35","6831381516","5048880527","-0.24%","19.51%"
"20190903","600136","当代明诚","11.51","1.05","10.04%","246932","277558528","6.79%","11.51","10.80","11.00","10.46","2.30","5.07","4.47","1.35","5607467072","5604014141","10.78%","38.18%"
"20190903","002708","光洋股份","8.66","0.79","10.04%","66595","57532371","3.94%","8.66","8.35","8.35","7.87","0.78","1.74","452.63","2.87","4060336847","3320959881","-13.49%","3.34%"
"20190903","603093","南华期货","8.44","0.77","10.04%","477","402647","0.00%","8.44","8.44","8.44","7.67","0.89","0.07","30.70","2.05","4895199757","590799971","21.09%","21.09%"
"20190903","000032","深桑达A","12.38","1.13","10.04%","71312","87792585","3.56%","12.38","11.98","11.98","11.25","0.72","1.73","48.92","3.69","5115659450","5091691807","30.32%","71.47%"
"20190903","300513","恒实科技","13.70","1.25","10.04%","160273","209077015","10.12%","13.70","12.44","12.47","12.45","2.48","6.99","48.25","1.82","4297568764","3139713869","-48.3%","-40.43%"
"20190903","000021","深科技","12.28","1.12","10.04%","1864234","2167534848","11.29%","12.28","11.02","11.20","11.16","1.22","12.69","60.38","2.87","18067064585","18043336052","42.62%","116.2%"
"20190903","601698","中国卫通","14.37","1.31","10.03%","2353759","3288041936","9.65%","14.37","13.11","14.00","13.06","2.18","58.84","137.88","5.20","57479999542","5747999954","266.58%","266.58%"
"20190903","300351","永贵电器","9.65","0.88","10.03%","155713","143225467","11.63%","9.65","8.63","8.83","8.77","3.60","6.51","32.63","1.55","3702143774","2309188823","0.73%","19.43%"
"20190903","300448","浩云科技","6.69","0.61","10.03%","347303","223353727","9.38%","6.69","6.12","6.12","6.08","2.60","8.25","158.09","3.61","4635580109","2816328180","-1.47%","-35.55%"
"20190903","000702","正虹科技","6.91","0.63","10.03%","193216","130391301","10.51%","6.91","6.25","6.29","6.28","0.94","7.25","203.50","3.48","1842444879","1842444879","8.48%","27.26%"
"20190903","002615","哈尔斯","6.36","0.58","10.03%","72684","46098316","2.94%","6.36","6.19","6.26","5.78","2.32","3.23","24.40","3.09","2610144055","1432587187","22.31%","31.4%"
"20190903","002941","新疆交建","22.61","2.06","10.02%","137501","299123632","9.78%","22.61","20.60","20.98","20.55","3.41","21.15","1144.42","6.95","14583450394","1469650040","-16.23%","0.04%"
"20190903","300235","方直科技","11.20","1.02","10.02%","133269","148415663","10.12%","11.20","10.17","10.20","10.18","2.40","12.00","105.09","3.12","1879708176","1243425782","10.56%","36.25%"
"20190903","002463","沪电股份","25.80","2.35","10.02%","1492165","3657952048","9.59%","25.80","23.55","23.58","23.45","1.22","8.84","46.51","10.14","44497706650","43557791547","132.67%","246.73%"
"20190903","000595","宝塔实业","4.83","0.44","10.02%","1005293","484575152","2.96%","4.83","4.70","4.83","4.39","2.11","13.37","-","6.58","3691468719","3631009707","69.47%","90.16%"
"20190903","002241","歌尔股份","14.94","1.36","10.01%","1553022","2239888720","9.87%","14.94","13.60","13.67","13.58","1.65","5.62","46.28","3.14","48481851621","41320333719","80.43%","117.15%"
"20190903","603000","人民网","24.17","2.20","10.01%","824770","1910782208","10.33%","24.17","21.90","22.19","21.97","1.39","7.46","310.52","9.71","26724552908","26724552908","31.79%","229.74%"
"20190903","300548","博创科技","44.83","4.08","10.01%","66321","290494896","11.34%","44.83","40.21","40.68","40.75","1.98","19.44","306.59","6.12","3736580653","1529151362","21.62%","16.29%"
"20190903","603613","国联股份","52.76","4.80","10.01%","79279","404862432","8.84%","52.76","48.52","49.80","47.96","0.66","22.52","57.14","7.51","7429399164","1857679541","142.13%","142.13%"
"20190903","600745","闻泰科技","55.31","5.03","10.00%","12028","66526979","0.00%","55.31","55.31","55.31","50.28","0.08","0.19","89.83","9.29","35247204740","35247204574","48.68%","164.26%"
"20190903","603755","日辰股份","33.11","3.01","10.00%","4201","13909842","0.00%","33.11","33.11","33.11","30.10","7.28","1.70","45.57","6.13","3265099038","816492615","46.44%","46.44%"
"20190903","603256","宏和科技","22.12","2.01","10.00%","324562","685222720","10.64%","22.12","19.98","20.11","20.11","1.18","36.97","160.02","13.21","19416936737","1942136074","246.71%","246.71%"
